target name	accession	query name	description of target
Polysacc_synt_2	PF02719.18	BGC0000094|c1|2912-16753|+|AAC69329.1|type_I_polyketide_synthase_PikAI|AAC69329.1	Polysaccharide biosynthesis protein               
SAT	PF16073.8	BGC0000094|c1|2912-16753|+|AAC69329.1|type_I_polyketide_synthase_PikAI|AAC69329.1	Starter unit:ACP transacylase in aflatoxin biosynthesis            
GDP_Man_Dehyd	PF16363.8	BGC0000094|c1|2912-16753|+|AAC69329.1|type_I_polyketide_synthase_PikAI|AAC69329.1	GDP-mannose 4,6 dehydratase               
YAcAr	PF10686.12	BGC0000094|c1|2912-16753|+|AAC69329.1|type_I_polyketide_synthase_PikAI|AAC69329.1	YspA, cpYpsA-related SLOG family              
RmlD_sub_bind	PF04321.20	BGC0000094|c1|2912-16753|+|AAC69329.1|type_I_polyketide_synthase_PikAI|AAC69329.1	RmlD substrate binding domain              
ATPgrasp_N	PF18130.4	BGC0000094|c1|2912-16753|+|AAC69329.1|type_I_polyketide_synthase_PikAI|AAC69329.1	ATP-grasp N-terminal domain               
ACP_syn_III	PF08545.13	BGC0000094|c1|2912-16753|+|AAC69329.1|type_I_polyketide_synthase_PikAI|AAC69329.1	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III              
ketoacyl-synt	PF00109.29	BGC0000094|c1|16858-28077|+|AAC69330.1|type_I_polyketide_synthase_PikAII|AAC69330.1	Beta-ketoacyl synthase, N-terminal domain              
Acyl_transf_1	PF00698.24	BGC0000094|c1|16858-28077|+|AAC69330.1|type_I_polyketide_synthase_PikAII|AAC69330.1	Acyl transferase domain               
Ketoacyl-synt_C	PF02801.25	BGC0000094|c1|16858-28077|+|AAC69330.1|type_I_polyketide_synthase_PikAII|AAC69330.1	Beta-ketoacyl synthase, C-terminal domain              
KR	PF08659.13	BGC0000094|c1|16858-28077|+|AAC69330.1|type_I_polyketide_synthase_PikAII|AAC69330.1	KR domain                
PS-DH	PF14765.9	BGC0000094|c1|16858-28077|+|AAC69330.1|type_I_polyketide_synthase_PikAII|AAC69330.1	Polyketide synthase dehydratase               
KAsynt_C_assoc	PF16197.8	BGC0000094|c1|16858-28077|+|AAC69330.1|type_I_polyketide_synthase_PikAII|AAC69330.1	Ketoacyl-synthetase C-terminal extension               
PP-binding	PF00550.28	BGC0000094|c1|16858-28077|+|AAC69330.1|type_I_polyketide_synthase_PikAII|AAC69330.1	Phosphopantetheine attachment site               
Thiolase_N	PF00108.26	BGC0000094|c1|16858-28077|+|AAC69330.1|type_I_polyketide_synthase_PikAII|AAC69330.1	Thiolase, N-terminal domain               
ADH_zinc_N_2	PF13602.9	BGC0000094|c1|16858-28077|+|AAC69330.1|type_I_polyketide_synthase_PikAII|AAC69330.1	Zinc-binding dehydrogenase                
adh_short	PF00106.28	BGC0000094|c1|16858-28077|+|AAC69330.1|type_I_polyketide_synthase_PikAII|AAC69330.1	short chain dehydrogenase               
ADH_zinc_N	PF00107.29	BGC0000094|c1|16858-28077|+|AAC69330.1|type_I_polyketide_synthase_PikAII|AAC69330.1	Zinc-binding dehydrogenase                
SAT	PF16073.8	BGC0000094|c1|16858-28077|+|AAC69330.1|type_I_polyketide_synthase_PikAII|AAC69330.1	Starter unit:ACP transacylase in aflatoxin biosynthesis            
Docking	PF08990.14	BGC0000094|c1|16858-28077|+|AAC69330.1|type_I_polyketide_synthase_PikAII|AAC69330.1	Erythronolide synthase docking domain              
ADH_N	PF08240.15	BGC0000094|c1|16858-28077|+|AAC69330.1|type_I_polyketide_synthase_PikAII|AAC69330.1	Alcohol dehydrogenase GroES-like domain              
ACP_syn_III	PF08545.13	BGC0000094|c1|16858-28077|+|AAC69330.1|type_I_polyketide_synthase_PikAII|AAC69330.1	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III              
Pex26	PF07163.15	BGC0000094|c1|16858-28077|+|AAC69330.1|type_I_polyketide_synthase_PikAII|AAC69330.1	Pex26 protein                
DUF1045	PF06299.15	BGC0000094|c1|16858-28077|+|AAC69330.1|type_I_polyketide_synthase_PikAII|AAC69330.1	Protein of unknown function (DUF1045)             
ketoacyl-synt	PF00109.29	BGC0000094|c1|28161-32849|+|AAC69331.1|type_I_polyketide_synthase_PikAIII|AAC69331.1	Beta-ketoacyl synthase, N-terminal domain              
Acyl_transf_1	PF00698.24	BGC0000094|c1|28161-32849|+|AAC69331.1|type_I_polyketide_synthase_PikAIII|AAC69331.1	Acyl transferase domain               
KR	PF08659.13	BGC0000094|c1|28161-32849|+|AAC69331.1|type_I_polyketide_synthase_PikAIII|AAC69331.1	KR domain                
Ketoacyl-synt_C	PF02801.25	BGC0000094|c1|28161-32849|+|AAC69331.1|type_I_polyketide_synthase_PikAIII|AAC69331.1	Beta-ketoacyl synthase, C-terminal domain              
KAsynt_C_assoc	PF16197.8	BGC0000094|c1|28161-32849|+|AAC69331.1|type_I_polyketide_synthase_PikAIII|AAC69331.1	Ketoacyl-synthetase C-terminal extension               
PP-binding	PF00550.28	BGC0000094|c1|28161-32849|+|AAC69331.1|type_I_polyketide_synthase_PikAIII|AAC69331.1	Phosphopantetheine attachment site               
adh_short	PF00106.28	BGC0000094|c1|28161-32849|+|AAC69331.1|type_I_polyketide_synthase_PikAIII|AAC69331.1	short chain dehydrogenase               
Thiolase_N	PF00108.26	BGC0000094|c1|28161-32849|+|AAC69331.1|type_I_polyketide_synthase_PikAIII|AAC69331.1	Thiolase, N-terminal domain               
Docking	PF08990.14	BGC0000094|c1|28161-32849|+|AAC69331.1|type_I_polyketide_synthase_PikAIII|AAC69331.1	Erythronolide synthase docking domain              
Epimerase	PF01370.24	BGC0000094|c1|28161-32849|+|AAC69331.1|type_I_polyketide_synthase_PikAIII|AAC69331.1	NAD dependent epimerase/dehydratase family              
SAT	PF16073.8	BGC0000094|c1|28161-32849|+|AAC69331.1|type_I_polyketide_synthase_PikAIII|AAC69331.1	Starter unit:ACP transacylase in aflatoxin biosynthesis            
GDP_Man_Dehyd	PF16363.8	BGC0000094|c1|28161-32849|+|AAC69331.1|type_I_polyketide_synthase_PikAIII|AAC69331.1	GDP-mannose 4,6 dehydratase               
Polysacc_synt_2	PF02719.18	BGC0000094|c1|28161-32849|+|AAC69331.1|type_I_polyketide_synthase_PikAIII|AAC69331.1	Polysaccharide biosynthesis protein               
ATPgrasp_N	PF18130.4	BGC0000094|c1|28161-32849|+|AAC69331.1|type_I_polyketide_synthase_PikAIII|AAC69331.1	ATP-grasp N-terminal domain               
YAcAr	PF10686.12	BGC0000094|c1|28161-32849|+|AAC69331.1|type_I_polyketide_synthase_PikAIII|AAC69331.1	YspA, cpYpsA-related SLOG family              
ketoacyl-synt	PF00109.29	BGC0000094|c1|32952-36992|+|AAC69332.1|type_I_polyketide_synthase_PikAIV|AAC69332.1	Beta-ketoacyl synthase, N-terminal domain              
Acyl_transf_1	PF00698.24	BGC0000094|c1|32952-36992|+|AAC69332.1|type_I_polyketide_synthase_PikAIV|AAC69332.1	Acyl transferase domain               
Ketoacyl-synt_C	PF02801.25	BGC0000094|c1|32952-36992|+|AAC69332.1|type_I_polyketide_synthase_PikAIV|AAC69332.1	Beta-ketoacyl synthase, C-terminal domain              
Thioesterase	PF00975.23	BGC0000094|c1|32952-36992|+|AAC69332.1|type_I_polyketide_synthase_PikAIV|AAC69332.1	Thioesterase domain                
KAsynt_C_assoc	PF16197.8	BGC0000094|c1|32952-36992|+|AAC69332.1|type_I_polyketide_synthase_PikAIV|AAC69332.1	Ketoacyl-synthetase C-terminal extension               
PP-binding	PF00550.28	BGC0000094|c1|32952-36992|+|AAC69332.1|type_I_polyketide_synthase_PikAIV|AAC69332.1	Phosphopantetheine attachment site               
Docking	PF08990.14	BGC0000094|c1|32952-36992|+|AAC69332.1|type_I_polyketide_synthase_PikAIV|AAC69332.1	Erythronolide synthase docking domain              
Thiolase_N	PF00108.26	BGC0000094|c1|32952-36992|+|AAC69332.1|type_I_polyketide_synthase_PikAIV|AAC69332.1	Thiolase, N-terminal domain               
SAT	PF16073.8	BGC0000094|c1|32952-36992|+|AAC69332.1|type_I_polyketide_synthase_PikAIV|AAC69332.1	Starter unit:ACP transacylase in aflatoxin biosynthesis            
Abhydrolase_1	PF00561.23	BGC0000094|c1|32952-36992|+|AAC69332.1|type_I_polyketide_synthase_PikAIV|AAC69332.1	alpha/beta hydrolase fold               
Abhydrolase_3	PF07859.16	BGC0000094|c1|32952-36992|+|AAC69332.1|type_I_polyketide_synthase_PikAIV|AAC69332.1	alpha/beta hydrolase fold               
Hydrolase_4	PF12146.11	BGC0000094|c1|32952-36992|+|AAC69332.1|type_I_polyketide_synthase_PikAIV|AAC69332.1	Serine aminopeptidase, S33               
Thioesterase	PF00975.23	BGC0000094|c1|36989-37834|+|AAC69333.1|thioesterase_II_PikAV|AAC69333.1	Thioesterase domain                
Abhydrolase_6	PF12697.10	BGC0000094|c1|36989-37834|+|AAC69333.1|thioesterase_II_PikAV|AAC69333.1	Alpha/beta hydrolase family               
Abhydrolase_3	PF07859.16	BGC0000094|c1|36989-37834|+|AAC69333.1|thioesterase_II_PikAV|AAC69333.1	alpha/beta hydrolase fold               
Hydrolase_4	PF12146.11	BGC0000094|c1|36989-37834|+|AAC69333.1|thioesterase_II_PikAV|AAC69333.1	Serine aminopeptidase, S33               
Abhydrolase_11	PF20408.1	BGC0000094|c1|36989-37834|+|AAC69333.1|thioesterase_II_PikAV|AAC69333.1	Alpha/beta hydrolase domain               
Lipase_3	PF01764.28	BGC0000094|c1|36989-37834|+|AAC69333.1|thioesterase_II_PikAV|AAC69333.1	Lipase (class 3)               
Abhydrolase_1	PF00561.23	BGC0000094|c1|36989-37834|+|AAC69333.1|thioesterase_II_PikAV|AAC69333.1	alpha/beta hydrolase fold               
Peptidase_S9	PF00326.24	BGC0000094|c1|36989-37834|+|AAC69333.1|thioesterase_II_PikAV|AAC69333.1	Prolyl oligopeptidase family               
Methyltransf_11	PF08241.15	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Methyltransferase domain                
Methyltransf_25	PF13649.9	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Methyltransferase domain                
CMAS	PF02353.23	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Mycolic acid cyclopropane synthetase              
Methyltransf_31	PF13847.9	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Methyltransferase domain                
Ubie_methyltran	PF01209.21	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	ubiE/COQ5 methyltransferase family               
Methyltransf_23	PF13489.9	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Methyltransferase domain                
Methyltransf_12	PF08242.15	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Methyltransferase domain                
Methyltransf_9	PF08003.14	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Protein of unknown function (DUF1698)             
PCMT	PF01135.22	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)               
MTS	PF05175.17	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Methyltransferase small domain               
MetW	PF07021.15	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Methionine biosynthesis protein MetW              
ADH_zinc_N	PF00107.29	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Zinc-binding dehydrogenase                
TPMT	PF05724.14	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Thiopurine S-methyltransferase (TPMT)               
Methyltransf_8	PF05148.18	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Hypothetical methyltransferase                
PrmA	PF06325.16	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Ribosomal protein L11 methyltransferase (PrmA)             
Methyltransf_4	PF02390.20	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Putative methyltransferase                
DOT1	PF08123.16	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Histone methylation protein DOT1              
Methyltransf_15	PF09445.13	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	RNA cap guanine-N2 methyltransferase              
Methyltransf_29	PF03141.19	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Putative S-adenosyl-L-methionine-dependent methyltransferase               
CheR	PF01739.21	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	CheR methyltransferase, SAM binding domain             
NNMT_PNMT_TEMT	PF01234.20	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	NNMT/PNMT/TEMT family                
Met_10	PF02475.19	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Met-10+ like-protein                
UPF0020	PF01170.21	BGC0000114|c1|420-1232|-|ABC84455.1|NigE|ABC84455.1	Putative RNA methylase family UPF0020             
ketoacyl-synt	PF00109.29	BGC0000114|c1|1475-8722|+|ABC84456.1|NigAI|ABC84456.1	Beta-ketoacyl synthase, N-terminal domain              
Acyl_transf_1	PF00698.24	BGC0000114|c1|1475-8722|+|ABC84456.1|NigAI|ABC84456.1	Acyl transferase domain               
Ketoacyl-synt_C	PF02801.25	BGC0000114|c1|1475-8722|+|ABC84456.1|NigAI|ABC84456.1	Beta-ketoacyl synthase, C-terminal domain              
PS-DH	PF14765.9	BGC0000114|c1|1475-8722|+|ABC84456.1|NigAI|ABC84456.1	Polyketide synthase dehydratase               
KAsynt_C_assoc	PF16197.8	BGC0000114|c1|1475-8722|+|ABC84456.1|NigAI|ABC84456.1	Ketoacyl-synthetase C-terminal extension               
PP-binding	PF00550.28	BGC0000114|c1|1475-8722|+|ABC84456.1|NigAI|ABC84456.1	Phosphopantetheine attachment site               
Thiolase_N	PF00108.26	BGC0000114|c1|1475-8722|+|ABC84456.1|NigAI|ABC84456.1	Thiolase, N-terminal domain               
SAT	PF16073.8	BGC0000114|c1|1475-8722|+|ABC84456.1|NigAI|ABC84456.1	Starter unit:ACP transacylase in aflatoxin biosynthesis            
GBP_PSP	PF02425.18	BGC0000114|c1|1475-8722|+|ABC84456.1|NigAI|ABC84456.1	Paralytic/GBP/PSP peptide                
ketoacyl-synt	PF00109.29	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	Beta-ketoacyl synthase, N-terminal domain              
Acyl_transf_1	PF00698.24	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	Acyl transferase domain               
KR	PF08659.13	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	KR domain                
PS-DH	PF14765.9	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	Polyketide synthase dehydratase               
Ketoacyl-synt_C	PF02801.25	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	Beta-ketoacyl synthase, C-terminal domain              
ADH_zinc_N_2	PF13602.9	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	Zinc-binding dehydrogenase                
ADH_zinc_N	PF00107.29	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	Zinc-binding dehydrogenase                
KAsynt_C_assoc	PF16197.8	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	Ketoacyl-synthetase C-terminal extension               
PP-binding	PF00550.28	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	Phosphopantetheine attachment site               
Docking	PF08990.14	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	Erythronolide synthase docking domain              
ADH_N	PF08240.15	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	Alcohol dehydrogenase GroES-like domain              
adh_short	PF00106.28	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	short chain dehydrogenase               
Thiolase_N	PF00108.26	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	Thiolase, N-terminal domain               
SAT	PF16073.8	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	Starter unit:ACP transacylase in aflatoxin biosynthesis            
GDP_Man_Dehyd	PF16363.8	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	GDP-mannose 4,6 dehydratase               
Epimerase	PF01370.24	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	NAD dependent epimerase/dehydratase family              
Erythro-docking	PF09277.14	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	Erythronolide synthase, docking               
Polysacc_synt_2	PF02719.18	BGC0000114|c1|8764-15465|+|ABC84457.1|NigAII|ABC84457.1	Polysaccharide biosynthesis protein               
ketoacyl-synt	PF00109.29	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	Beta-ketoacyl synthase, N-terminal domain              
Acyl_transf_1	PF00698.24	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	Acyl transferase domain               
KR	PF08659.13	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	KR domain                
PS-DH	PF14765.9	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	Polyketide synthase dehydratase               
Ketoacyl-synt_C	PF02801.25	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	Beta-ketoacyl synthase, C-terminal domain              
KAsynt_C_assoc	PF16197.8	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	Ketoacyl-synthetase C-terminal extension               
adh_short	PF00106.28	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	short chain dehydrogenase               
PP-binding	PF00550.28	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	Phosphopantetheine attachment site               
ADH_zinc_N_2	PF13602.9	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	Zinc-binding dehydrogenase                
ADH_zinc_N	PF00107.29	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	Zinc-binding dehydrogenase                
Thiolase_N	PF00108.26	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	Thiolase, N-terminal domain               
Docking	PF08990.14	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	Erythronolide synthase docking domain              
GDP_Man_Dehyd	PF16363.8	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	GDP-mannose 4,6 dehydratase               
Epimerase	PF01370.24	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	NAD dependent epimerase/dehydratase family              
ADH_N	PF08240.15	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	Alcohol dehydrogenase GroES-like domain              
SAT	PF16073.8	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	Starter unit:ACP transacylase in aflatoxin biosynthesis            
Polysacc_synt_2	PF02719.18	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	Polysaccharide biosynthesis protein               
NAD_binding_4	PF07993.15	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	Male sterility protein               
NmrA	PF05368.16	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	NmrA-like family                
GBP_PSP	PF02425.18	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	Paralytic/GBP/PSP peptide                
ACP_syn_III	PF08545.13	BGC0000114|c1|15507-27758|+|ABC84458.1|NigAIII|ABC84458.1	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III              
ketoacyl-synt	PF00109.29	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	Beta-ketoacyl synthase, N-terminal domain              
Acyl_transf_1	PF00698.24	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	Acyl transferase domain               
KR	PF08659.13	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	KR domain                
PS-DH	PF14765.9	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	Polyketide synthase dehydratase               
Ketoacyl-synt_C	PF02801.25	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	Beta-ketoacyl synthase, C-terminal domain              
KAsynt_C_assoc	PF16197.8	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	Ketoacyl-synthetase C-terminal extension               
PP-binding	PF00550.28	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	Phosphopantetheine attachment site               
ADH_zinc_N_2	PF13602.9	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	Zinc-binding dehydrogenase                
adh_short	PF00106.28	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	short chain dehydrogenase               
Thiolase_N	PF00108.26	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	Thiolase, N-terminal domain               
ADH_zinc_N	PF00107.29	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	Zinc-binding dehydrogenase                
Docking	PF08990.14	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	Erythronolide synthase docking domain              
Epimerase	PF01370.24	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	NAD dependent epimerase/dehydratase family              
GDP_Man_Dehyd	PF16363.8	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	GDP-mannose 4,6 dehydratase               
ADH_N	PF08240.15	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	Alcohol dehydrogenase GroES-like domain              
SAT	PF16073.8	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	Starter unit:ACP transacylase in aflatoxin biosynthesis            
Polysacc_synt_2	PF02719.18	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	Polysaccharide biosynthesis protein               
Erythro-docking	PF09277.14	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	Erythronolide synthase, docking               
NmrA	PF05368.16	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	NmrA-like family                
ACP_syn_III	PF08545.13	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III              
GBP_PSP	PF02425.18	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	Paralytic/GBP/PSP peptide                
NAD_binding_4	PF07993.15	BGC0000114|c1|27775-39942|+|ABC84459.1|NigAIV|ABC84459.1	Male sterility protein               
ketoacyl-synt	PF00109.29	BGC0000114|c1|39985-52122|+|ABC84460.1|NigAV|ABC84460.1	Beta-ketoacyl synthase, N-terminal domain              
Acyl_transf_1	PF00698.24	BGC0000114|c1|39985-52122|+|ABC84460.1|NigAV|ABC84460.1	Acyl transferase domain               
KR	PF08659.13	BGC0000114|c1|39985-52122|+|ABC84460.1|NigAV|ABC84460.1	KR domain                
PS-DH	PF14765.9	BGC0000114|c1|39985-52122|+|ABC84460.1|NigAV|ABC84460.1	Polyketide synthase dehydratase               
Ketoacyl-synt_C	PF02801.25	BGC0000114|c1|39985-52122|+|ABC84460.1|NigAV|ABC84460.1	Beta-ketoacyl synthase, C-terminal domain              
KAsynt_C_assoc	PF16197.8	BGC0000114|c1|39985-52122|+|ABC84460.1|NigAV|ABC84460.1	Ketoacyl-synthetase C-terminal extension               
